TIME,Switerland,New Zealand,OECD
2018-Q1,4.9,4.4,5.6
2018-Q2,4.9,4.6,5.5
2018-Q3,4.3,4.0,5.4
2018-Q4,4.8,4.3,5.5
2019-Q1,4.7,4.2,5.5
2019-Q2,4.4,4.1,5.4
2019-Q3,4.4,4.1,5.4
2019-Q4,4.1,4.1,5.3
2020-Q1,4.3,4.2,5.4
2020-Q2,4.7,4.1,8.6
2020-Q3,5.1,5.2,7.7
2020-Q4,5.2,4.9,7.0
2021-Q1,5.5,4.6,6.7
2021-Q2,5.2,4.0,6.5
2021-Q3,4.9,3.3,5.9
2021-Q4,4.5,3.2,5.5
2022-Q1,4.3,3.2,5.2
2022-Q2,4.2,3.3,5.0
2022-Q3,3.9,3.2,4.9
2022-Q4,4.1,3.4,4.9
2023-Q1,4.0,3.4,4.8
2023-Q2,3.9,3.6,4.8
2023-Q3,4.1,3.9,4.8
2023-Q4,4.2,4.0,4.9
2024-Q1,4.1,4.4,4.9
2024-Q2,4.2,4.6,4.9
2024-Q3,4.5,4.8,4.9
2024-Q4,4.2,,
